Configuration,Cluster_Label
000_125,34
011_01A,0
011_01B,0
011_07E,35
011_07F,10
011_07G,0
011_07N,14
011_07P,19
011_11,0
011_12,0
011_121,0
011_122,0
011_124,0
011_125,0
011_13,0
011_14,0
011_142,0
011_143,0
011_144,0
011_145,0
011_146,0
011_147,1
011_148,0
011_15,0
011_151,0
011_152,0
011_154,0
011_155,0
011_161,0
011_162,0
011_163,0
011_164,0
011_165,0
011_171,0
011_172,0
011_175,0
011_176,0
011_177,0
011_17A,0
011_191,0
011_193,0
011_194,0
011_195,0
011_196,30
011_197,0
011_198,0
011_199,0
011_21,0
011_211,0
011_212,0
011_213,0
011_21A,19
011_22,0
011_223,38
011_225,29
011_22C,0
011_22D,0
011_22E,1
011_22F,0
011_23,0
011_231,0
011_232,0
011_233,0
011_234,0
011_24,1
011_241,0
011_242,0
011_243,0
011_245,0
011_25,7
011_252,0
011_253,0
011_254,0
011_256,0
011_258,0
011_259,1
011_26,0
011_41,0
011_42,0
011_43,0
011_45,0
011_51,0
011_52,0
011_55,27
011_56,0
011_57,1
011_63,0
011_64,0
011_65,0
011_91,0
011_92,0
011_93,0
011_94,0
011_95,0
011_96,0
011_97,0
012_01A,0
012_07T,14
012_12,38
012_121,0
012_122,0
012_124,0
012_125,0
012_13,0
012_142,0
012_143,0
012_146,0
012_148,0
012_151,0
012_152,0
012_155,0
012_161,0
012_162,0
012_163,0
012_164,0
012_175,5
012_176,3
012_177,0
012_191,36
012_193,0
012_194,0
012_195,0
012_197,0
012_199,0
012_212,0
012_22,0
012_22C,0
012_22D,15
012_22F,5
012_231,3
012_232,0
012_233,0
012_234,1
012_24,0
012_241,0
012_242,0
012_243,0
012_245,0
012_25,0
012_252,0
012_253,0
012_256,0
012_258,0
012_259,13
012_41,0
012_43,0
012_45,0
012_51,0
012_52,31
012_63,0
012_65,20
012_91,0
012_92,33
012_93,0
012_94,0
012_95,0
012_96,0
012_97,0
013_124,26
013_142,0
013_143,0
013_144,1
013_146,1
013_151,1
013_152,0
013_162,0
013_163,0
013_172,0
013_197,0
013_198,0
013_199,14
013_21,0
013_22,27
013_22C,11
013_23,24
013_231,0
013_241,0
013_242,0
013_245,11
013_252,11
013_253,0
013_258,0
013_259,0
013_63,0
013_93,0
013_94,0
013_95,1
013_96,1
013_97,8
014_01A,2
014_01B,0
014_11,10
014_12,2
014_121,0
014_122,40
014_124,0
014_125,1
014_13,1
014_14,4
014_142,0
014_143,0
014_144,0
014_145,0
014_146,4
014_147,4
014_148,0
014_15,0
014_151,0
014_152,0
014_155,4
014_161,5
014_162,0
