Installation,cluster
292561,62
292562,11
292563,34
292564,89
292567,118
292568,135
292569,76
292570,136
292571,129
292572,145
292574,42
292575,106
292576,11
292577,46
292578,97
292579,46
292581,68
292582,143
292583,27
292584,37
292585,33
292586,94
292587,140
292588,81
292589,128
292591,96
292592,19
292593,61
292594,24
292595,29
292597,148
292598,97
292599,149
292600,149
292601,41
292603,149
292604,68
292606,161
292607,42
292608,134
292609,37
292610,81
292611,129
292612,86
292613,122
292614,46
292615,76
292616,51
292617,61
292618,110
292619,68
292620,136
292622,76
292623,33
292624,149
292625,132
292626,46
292627,82
292628,103
292629,46
292631,136
292634,33
292636,21
292637,33
292638,89
292639,68
292640,148
292641,84
292642,108
292643,94
292644,108
292645,16
292646,71
292647,102
292648,24
292649,129
292650,77
292651,97
292652,33
292655,18
292656,46
292657,129
292658,51
292659,11
292660,33
292661,82
292662,127
292663,78
292664,4
292665,129
292667,33
292668,68
292669,104
292670,79
292671,46
292672,11
292673,31
292674,33
292675,27
292676,68
292677,32
292678,76
292679,66
292680,46
292681,118
292682,8
292683,78
292684,145
292685,68
292686,26
292687,145
292688,10
292689,98
292690,161
292691,98
292692,26
292693,18
292694,67
292696,98
292698,115
292699,48
292700,46
292701,149
292702,46
292703,32
292705,96
292706,93
292707,42
292708,46
292709,97
292711,121
292712,16
292713,148
292715,68
292717,33
292718,23
292721,32
292722,42
292723,46
292724,89
292725,134
292726,63
292727,140
292728,135
292731,96
292733,45
292734,33
292735,88
292736,4
292737,0
292741,0
292742,46
292743,34
292744,97
292745,68
292746,145
292747,129
292748,46
292749,94
292750,45
292751,78
292752,82
292753,11
292754,98
292755,46
292756,103
292757,38
292759,27
292760,136
292761,8
292762,96
292763,68
292764,10
292765,33
292766,98
292767,7
292768,142
292769,86
292771,82
292772,103
292773,158
292774,134
292775,3
292776,18
292778,83
292779,7
292780,49
292781,130
292782,98
292783,56
292784,37
292785,94
292787,77
292788,129
292789,159
292790,4
292791,142
292792,53
292793,43
292794,21
292795,0
292796,145
292798,94
292799,8
292801,17
292802,98
292803,46
292804,46
292805,23
292806,98
292807,136
292808,14
292810,145
292811,94
292812,32
292813,86
292814,11
292815,121
292816,38
292817,102
292819,42
292820,148
292821,33
292822,101
292823,96
292825,18
292826,55
292827,48
292828,25
292829,94
292832,27
292834,97
292835,122
292836,25
292837,46
292838,72
292839,80
292840,129
292841,11
292842,53
292843,46
292844,16
292845,135
292846,129
292847,71
292848,118
292849,60
292850,33
292851,134
292852,33
292853,23
292854,129
292855,140
292856,46
292857,78
292858,32
292860,8
292863,120
292864,11
292865,59
292866,21
292867,46
292868,18
292870,134
292871,11
292872,7
292873,3
292874,48
292875,33
292876,46
292877,59
292879,46
292880,77
292881,98
292883,61
292884,27
292885,104
292886,111
292887,98
292888,61
292889,66
292890,46
292891,148
292892,153
292893,85
292894,12
292895,143
292896,140
292897,86
292901,122
292903,96
292904,37
292905,46
292906,11
292907,94
292908,108
292910,68
292911,140
292912,134
292913,96
292915,46
292916,8
292917,96
292918,140
292919,128
292920,24
292921,98
292922,94
292923,93
292924,130
292925,161
292926,6
292927,121
292929,16
292930,94
292931,19
292932,86
292933,78
292934,122
292936,33
292937,161
292940,130
292941,49
292942,18
292943,106
292945,46
292946,94
292947,156
292948,36
292949,10
292950,33
292951,86
292955,63
292956,18
292957,32
292959,152
292960,140
292961,98
292962,42
292963,94
292964,126
292965,134
292966,21
292967,51
292968,98
292969,27
292970,102
292971,74
292972,1
292974,133
292975,69
292976,46
292977,46
292978,8
292979,51
292980,5
292981,78
292982,33
292983,148
292984,9
292986,149
292987,102
292988,8
292989,39
292990,96
292991,149
292992,46
292993,4
292995,64
292996,61
292997,57
292998,0
292999,56
293000,128
293001,31
293002,120
293003,94
293004,9
293005,96
293006,113
293007,118
293008,78
